dataset	n_seqs	aln_len	condition	impl	engine	threads	status	n_reps	wall_sec	wall_min	wall_max	reftree_sec	l1out_sec	max_rss_mb	n_mislabels
n100	100	242	port_py3_epang_T1	port	epang	1	ok	3	2.12	1.97	6.63	0.0	2.0	118.5	6
n100	100	242	port_py3_epang_T16	port	epang	16	ok	3	1.77	1.72	2.07	0.0	1.0	118.8	6
n100	100	242	port_py3_epang_T2	port	epang	2	ok	3	2.17	1.97	3.57	0.0	2.0	119.3	6
n100	100	242	port_py3_epang_T4	port	epang	4	ok	3	2.07	1.87	2.07	0.0	2.0	118.9	6
n100	100	242	port_py3_epang_T8	port	epang	8	ok	3	1.82	1.77	1.82	0.0	1.0	118.8	6
n100	100	242	port_py3_epang_T8_K10	port	epang	8	ok	1	3.62	3.62	3.62	0.0	3.0	119.3	6
n100	100	242	port_py3_epang_T8_K25	port	epang	8	ok	1	3.32	3.32	3.32	0.0	3.0	120.4	6
n100	100	242	port_py3_epang_T8_K50	port	epang	8	ok	1	5.22	5.22	5.22	0.0	5.0	122.7	6
n100	100	242	port_py3_epang_T8_Kexact	port	epang	8	ok	1	8.98	8.98	8.98	0.0	9.0	122.2	6
n100	100	242	port_py3_raxml_T1	port	raxml	1	ok	3	2.82	2.77	2.92	0.0	2.0	17.6	6
n100	100	242	port_py3_raxml_T8	port	raxml	8	ok	3	2.22	2.22	2.27	0.0	2.0	17.7	6
n100	100	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	3	3.22	3.12	3.48	0.0	3.0	17.4	6
n100	100	242	upstream_py2_raxml_T8	upstream_py2	raxml	8	ok	3	2.32	2.32	2.42	0.0	2.0	17.4	6
n100	100	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	2.92	2.87	3.82	0.0	2.0	18.1	6
n100	100	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	2.27	2.22	2.27	0.0	2.0	18.1	6
n200	200	242	port_py3_epang_T1	port	epang	1	ok	3	3.32	3.22	3.57	1.0	3.0	120.6	16
n200	200	242	port_py3_epang_T16	port	epang	16	ok	3	2.37	2.32	2.52	0.0	2.0	130.3	16
n200	200	242	port_py3_epang_T2	port	epang	2	ok	3	2.87	2.77	2.97	1.0	2.0	120.5	16
n200	200	242	port_py3_epang_T4	port	epang	4	ok	3	2.57	2.57	2.62	0.0	2.0	123.5	16
n200	200	242	port_py3_epang_T8	port	epang	8	ok	3	2.37	2.37	2.62	0.0	2.0	126.5	16
n200	200	242	port_py3_epang_T8_K10	port	epang	8	ok	1	3.22	3.22	3.22	0.0	3.0	128.2	14
n200	200	242	port_py3_epang_T8_K25	port	epang	8	ok	1	5.57	5.57	5.57	0.0	5.0	136.0	12
n200	200	242	port_py3_epang_T8_K50	port	epang	8	ok	1	9.53	9.53	9.53	0.0	9.0	138.0	12
n200	200	242	port_py3_epang_T8_Kexact	port	epang	8	ok	1	31.92	31.92	31.92	0.0	31.0	140.2	12
n200	200	242	port_py3_epang_T8_acc999	port	epang	8	ok	1	2.22	2.22	2.22	0.0	2.0	126.0	16
n200	200	242	port_py3_epang_T8_blo	port	epang	8	ok	1	2.32	2.32	2.32	0.0	2.0	128.8	13
n200	200	242	port_py3_epang_T8_noheur	port	epang	8	ok	1	3.12	3.12	3.12	0.0	3.0	121.7	15
n200	200	242	port_py3_epang_T8_raxmlmatch	port	epang	8	ok	1	23.17	23.17	23.17	0.0	23.0	131.5	11
n200	200	242	port_py3_raxml_T1	port	raxml	1	ok	3	9.78	9.63	9.88	1.0	9.0	19.0	11
n200	200	242	port_py3_raxml_T8	port	raxml	8	ok	3	7.53	7.53	7.63	0.0	7.0	19.3	11
n200	200	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	3	10.14	9.68	11.53	1.0	9.0	20.1	11
n200	200	242	upstream_py2_raxml_T8	upstream_py2	raxml	8	ok	3	7.32	7.27	7.42	0.0	7.0	20.0	11
n200	200	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	9.63	9.63	11.38	1.0	9.0	19.4	11
n200	200	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	7.42	7.33	7.73	0.0	7.0	19.5	11
n400	400	242	port_py3_epang_T1	port	epang	1	ok	3	5.47	5.47	5.77	1.0	4.0	219.2	22
n400	400	242	port_py3_epang_T16	port	epang	16	ok	3	3.32	3.27	3.47	1.0	2.0	245.7	22
n400	400	242	port_py3_epang_T1_K25	port	epang	1	ok	1	12.24	12.24	12.24	1.0	11.0	232.4	21
n400	400	242	port_py3_epang_T2	port	epang	2	ok	3	4.52	4.42	4.57	1.0	3.0	230.2	22
n400	400	242	port_py3_epang_T4	port	epang	4	ok	3	3.62	3.62	3.82	1.0	3.0	239.0	22
n400	400	242	port_py3_epang_T8	port	epang	8	ok	3	3.32	3.32	3.57	1.0	2.0	238.6	22
n400	400	242	port_py3_epang_T8_K10	port	epang	8	ok	1	4.92	4.92	4.92	1.0	4.0	240.1	22
n400	400	242	port_py3_epang_T8_K25	port	epang	8	ok	1	9.53	9.53	9.53	1.0	9.0	257.2	21
n400	400	242	port_py3_epang_T8_K50	port	epang	8	ok	1	18.05	18.05	18.05	1.0	17.0	260.2	22
n400	400	242	port_py3_epang_T8_Kexact	port	epang	8	ok	1	127.95	127.95	127.95	1.0	127.0	264.9	22
n400	400	242	port_py3_epang_T8_acc999	port	epang	8	ok	1	3.27	3.27	3.27	1.0	2.0	235.4	22
n400	400	242	port_py3_epang_T8_blo	port	epang	8	ok	1	3.32	3.32	3.32	1.0	2.0	243.2	22
n400	400	242	port_py3_epang_T8_noheur	port	epang	8	ok	1	6.02	6.02	6.02	1.0	5.0	219.5	22
n400	400	242	port_py3_epang_T8_raxmlmatch	port	epang	8	ok	1	89.81	89.81	89.81	1.0	89.0	244.1	20
n400	400	242	port_py3_raxml_T1	port	raxml	1	ok	3	35.42	35.22	39.13	1.0	34.0	23.4	24
n400	400	242	port_py3_raxml_T8	port	raxml	8	ok	3	27.55	26.9	27.7	1.0	27.0	23.7	24
n400	400	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	3	37.57	35.07	37.87	1.0	36.0	28.0	25
n400	400	242	upstream_py2_raxml_T8	upstream_py2	raxml	8	ok	3	27.26	27.06	27.42	1.0	26.0	27.9	25
n400	400	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	35.87	35.37	36.07	1.0	35.0	23.4	24
n400	400	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	26.85	26.5	28.15	1.0	26.0	23.2	24
n400	400	242	upstream_py3_raxml_T8_gamma	upstream_py3	raxml	8	ok	1	27.46	27.46	27.46	1.0	27.0	23.6	24
n800	800	242	port_py3_epang_T1	port	epang	1	ok	1	12.03	12.03	12.03	1.0	11.0	432.8	47
n800	800	242	port_py3_epang_T16	port	epang	16	ok	1	5.52	5.52	5.52	1.0	4.0	470.9	47
n800	800	242	port_py3_epang_T1_K25	port	epang	1	ok	1	25.21	25.21	25.21	1.0	24.0	457.4	49
n800	800	242	port_py3_epang_T2	port	epang	2	ok	1	8.38	8.38	8.38	1.0	7.0	450.9	47
n800	800	242	port_py3_epang_T4	port	epang	4	ok	1	6.63	6.63	6.63	1.0	5.0	456.9	47
n800	800	242	port_py3_epang_T8	port	epang	8	ok	1	5.57	5.57	5.57	1.0	5.0	463.9	47
n800	800	242	port_py3_epang_T8_K100	port	epang	8	ok	1	70.29	70.29	70.29	1.0	69.0	510.8	49
n800	800	242	port_py3_epang_T8_K25	port	epang	8	ok	1	16.44	16.44	16.44	1.0	15.0	497.9	49
n800	800	242	port_py3_epang_T8_K25_gammainfo	port	epang	8	ok	1	16.09	16.09	16.09	1.0	14.0	492.5	52
n800	800	242	port_py3_epang_T8_gammainfo	port	epang	8	ok	1	9.68	9.68	9.68	1.0	8.0	464.7	50
n800	800	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	1	112.04	112.04	112.04	1.0	111.0	41.2	49
n800	800	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	108.95	108.83	111.64	1.0	108.0	35.1	48
n800	800	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	111.64	111.49	112.58	1.0	111.0	35.2	49
n800	800	242	upstream_py3_raxml_T8_gamma	upstream_py3	raxml	8	ok	1	105.67	105.67	105.67	1.0	104.0	41.5	49
n1600	1600	242	port_py3_epang_T1	port	epang	1	ok	1	34.79	34.79	34.79	3.0	31.0	825.6	133
n1600	1600	242	port_py3_epang_T16	port	epang	16	ok	1	11.69	11.69	11.69	2.0	10.0	874.9	134
n1600	1600	242	port_py3_epang_T1_K25	port	epang	1	ok	1	65.08	65.08	65.08	3.0	62.0	901.9	124
n1600	1600	242	port_py3_epang_T2	port	epang	2	ok	1	22.05	22.05	22.05	3.0	19.0	853.4	133
n1600	1600	242	port_py3_epang_T4	port	epang	4	ok	1	15.74	15.74	15.74	2.0	13.0	868.2	133
